"   ","OWNER_CODE"
"1516","EKTU"
"1517","KITU"
"1518","TJPU"
"1519","XBNB"
"1520","PNEA"
"1521","FTLU"
"1522","BWMU"
"1523","AGOU"
"1524","BXRU"
"1525","CANU"
"1526","TTIU"
"1527","BRTU"
"1528","HOLU"
"1529","PUMU"
"1530","TLHU"
"1531","DPCU"
"1532","RVHU"
"1533","CJFU"
"1534","STEW"
"1535","XYLU"
"1536","OCVU"
"1537","HGCU"
"1538","UCMU"
"1539","SYLU"
"1540","9334"
"1541","DHBU"
"1542","SBNU"
"1543","OTCU"
"1544","LCLU"
"1545","LEGU"
"1546","ADXU"
"1547","LTIU"
"1548","BSIU"
"1549","HMCU"
"1550","OCGU"
"1551","GVCU"
"1552","NONU"
"1553","HASU"
"1554","CRLU"
"1555","CCRU"
"1556","DTOU"
"1557","EQUU"
"1558","TGCU"
"1559","CPIU"
"1560","HESU"
"1561","RXTU"
"1562","GNXU"
"1563","FOHU"
"1564","ASKU"
"1565","ETNU"
"1566","PRXU"
"1567","QPCU"
"1568","TILU"
"1569","RYCU"
"1570","BBCU"
"1571","NKLU"
"1572","ATKU"
"1573","NKYU"
"1574","BVTC"
"1575","FLAU"
"1576","GMTU"
"1577","CGIU"
"1578","SKHA"
"1579","TGXU"
"1580","UENU"
"1581","RSTU"
"1582","JPSU"
"1583","JMLU"
"1584","ZIPU"
"1585","BICU"
"1586","4014"
"1587","3149"
"1588","BBXU"
"1589","IMLU"
"1590","VOLU"
"1591","BVFU"
"1592","TRGU"
"1593","OUTU"
"1594","FMUU"
"1595","PWEU"
"1596","NYTU"
"1597","VGCU"
"1598","MBTU"
"1599","ATHU"
"1600","SNJU"
"1601","HTXU"
"1602","RJSU"
"1603","HXCU"
"1604","PHVU"
"1605","BOEU"
"1606","HZLU"
"1607","NYKU"
"1608","IMTU"
"1609","KMBU"
"1610","HNSU"
"1611","INBU"
"1612","JXLU"
"1613","CXSU"
"1614","IKSU"
"1615","BAFU"
"1616","NPUU"
"1617","NESU"
"1618","NIDU"
"1619","REDU"
"1620","FXLU"
"1621","SZEU"
"1622","AWSU"
"1623","LLZU"
"1624","FONU"
"1625","YMCU"
"1626","TOSU"
"1627","GGGU"
"1628","HITU"
"1629","PRGU"
"1630","IKKU"
"1631","ZETU"
"1632","CHXU"
"1633","FIIU"
"1634","GMCU"
"1635","HACU"
"1636","VNXU"
"1637","RJMU"
"1638","ASLU"
"1639","AFPU"
"1640","CTRU"
"1641","SPNU"
"1642","DADU"
"1643","REMU"
"1644","BKSU"
"1645","SBHU"
"1646","EJCU"
"1647","GDAU"
"1648","HSUD"
"1649","BCXU"
"1650","HYCU"
"1651","QUBU"
"1652","WIKU"
"1653","JNCU"
"1654","DOVU"
"1655","IEUU"
"1656","TIDU"
"1657","RAWU"
"1658","UPCU"
"1659","SXXU"
"1660","EIAU"
"1661","HZCU"
"1662","BXNU"
"1663","ZCIU"
"1664","ONEU"
"1665","MEFU"
"1666","YHMU"
"1667","FHLU"
"1668","EKYU"
"1669","MAT4"
"1670","JINU"
"1671","EIDU"
"1672","EGSU"
"1673","TTNU"
"1674","ESPU"
"1675","CXRU"
"1676","TOLU"
"1677","EURU"
"1678","CTXU"
"1679","LNXU"
"1680","DACU"
"1681","RSGU"
"1682","CPGU"
"1683","HMSU"
"1684","BLZU"
"1685","CPBU"
"1686","RSLU"
"1687","ESAU"
"1688","ALTU"
"1689","MARU"
"1690","ECAU"
"1691","ICAU"
"1692","GALU"
"1693","GHMU"
"1694","YNTU"
"1695","ZHHU"
"1696","AACU"
"1697","ANLU"
"1698","FAAU"
"1699","GLPU"
"1700","FAVU"
"1701","CXNU"
"1702","VASU"
"1703","9406"
"1704","FTIU"
"1705","KYRU"
"1706","STSU"
"1707","SNKU"
"1708","XCSU"
"1709","LGAU"
"1710","SMBU"
"1711","AROU"
"1712","TGBU"
"1713","CULU"
"1714","BMIU"
"1715","AILU"
"1716","KMIU"
"1717","PPMU"
"1718","IJTU"
"1719","YARJ"
"1720","UHNP"
"1721","MAZU"
"1722","MERU"
"1723","CNHU"
"1724","TACU"
"1725","GUTU"
"1726","FDCU"
"1727","LCSU"
"1728","TYSU"
"1729","XTGU"
"1730","YPWU"
"1731","CMAU"
"1732","XINU"
"1733","MOAU"
"1734","CLHU"
"1735","PMLU"
"1736","HJSU"
"1737","GSTU"
"1738","JXJU"
"1739","UNIU"
"1740","TWCU"
"1741","CMNU"
"1742","XFCU"
"1743","XHCU"
"1744","LFGU"
"1745","FXHU"
"1746","TIHU"
"1747","BJHU"
"1748","TBUU"
"1749","STMU"
"1750","FMMU"
"1751","COPU"
"1752","GCCG"
"1753","SGPU"
"1754","TSBU"
"1755","RJCU"
"1756","ELCU"
"1757","SYNU"
"1758","RCXU"
"1759","NEPU"
"1760","JXCU"
"1761","PLGU"
"1762","AKAU"
"1763","EAXU"
"1764","JDRU"
"1765","YUTU"
"1766","YUKU"
"1767","BSPU"
"1768","9156"
"1769","HGIU"
"1770","TIGU"
"1771","PLLU"
"1772","MRTU"
"1773","IMCU"
"1774","TKHU"
"1775","CKXU"
"1776","TSSU"
"1777","VALU"
"1778","TAIU"
"1779","RWHU"
"1780","BARU"
"1781","THQU"
"1782","SCEU"
"1783","CKBU"
"1784","CHSU"
"1785","MISU"
"1786","HSBU"
"1787","IIJU"
"1788","RDWU"
"1789","OERU"
"1790","RFCU"
"1791","IDTU"
"1792","IRNU"
"1793","HGTU"
"1794","ESIU"
"1795","IHOU"
"1796","DDDU"
"1797","MVIU"
"1798","NYCU"
"1799","AAFU"
"1800","WPLU"
"1801","OKTU"
"1802","EHSU"
"1803","PCCA"
"1804","ZJQU"
"1805","PTSB"
"1806","SPLU"
"1807","KICU"
"1808","CRDU"
"1809","CTLU"
"1810","JSKU"
"1811","UELB"
"1812","CYCU"
"1813","STNU"
"1814","SUNU"
"1815","CEZU"
"1816","6507"
"1817","CFZU"
"1818","1511"
"1819","XCLU"
"1820","NYDU"
"1821","BINU"
"1822","GRGU"
"1823","IGHU"
"1824","RUSU"
"1825","CTBU"
"1826","HRSU"
"1827","MVLU"
"1828","MBGU"
"1829","TYLU"
"1830","BNSU"
"1831","KTDU"
"1832","RINU"
"1833","TNIU"
"1834","YYCU"
"1835","SHKU"
"1836","FFLU"
"1837","OVLU"
"1838","FHRU"
"1839","SYTU"
"1840","TENU"
"1841","HAHU"
"1842","UACU"
"1843","ZIMU"
"1844","YMLU"
"1845","SITU"
"1846","HMMU"
"1847","CPSU"
"1848","XTCU"
"1849","ALMU"
"1850","NRSU"
"1851","ITDU"
"1852","IRSU"
"1853","APMU"
"1854","FSNU"
"1855","ACCU"
"1856","SJUU"
"1857","EXXU"
"1858","ISLU"
"1859","SCGU"
"1860","OOCU"
"1861","PDQU"
"1862","YALZ"
"1863","ZWFU"
"1864","SYMU"
"1865","ANRU"
"1866","RECU"
"1867","DDFU"
"1868","OTMU"
"1869","AXBU"
"1870","WJSU"
"1871","KJJU"
"1872","ILSU"
"1873","00LU"
"1874","MNLU"
"1875","TDIU"
"1876","TLLU"
"1877","SJLU"
"1878","SHDU"
"1879","ESGU"
"1880","UNOU"
"1881","MINU"
"1882","RWAU"
"1883","FOGU"
"1884","CSPU"
"1885","5908"
"1886","APTU"
"1887","HEXU"
"1888","OREU"
"1889","ZMOU"
"1890","ISMU"
"1891","EFIU"
"1892","BFJU"
"1893","OBTU"
"1894","DJLU"
"1895","NEVU"
"1896","JCTU"
"1897","TMTU"
"1898","CLLU"
"1899","RCCU"
"1900","DHGU"
"1901","SDCU"
"1902","BMNU"
"1903","AGLU"
"1904","FALU"
"1905","WNKU"
"1906","TADU"
"1907","WCRU"
"1908","MOBU"
"1909","NMDU"
"1910","FMSU"
"1911","TRVU"
"1912","ITCU"
"1913","PGRU"
"1914","WHLU"
"1915","ILUU"
"1916","SIMU"
"1917","QIEU"
"1918","UTCU"
"1919","KLFU"
"1920","RALU"
"1921","MUKU"
"1922","HELU"
"1923","DSMU"
"1924","ABCU"
"1925","USPU"
"1926","JKCU"
"1927","NATU"
"1928","KYWU"
"1929","TWLU"
"1930","MMAU"
"1931","CREU"
"1932","QIBU"
"1933","AGBU"
"1934","FUDU"
"1935","TWSU"
"1936","EBCU"
"1937","KTFU"
"1938","PALU"
"1939","LMSU"
"1940","HRZU"
"1941","MRSU"
"1942","BBMU"
"1943","UCSU"
"1944","DOLU"
"1945","CFXU"
"1946","CBCU"
"1947","4012"
"1948","ANDU"
"1949","LEPU"
"1950","ITTU"
"1951","LEAU"
"1952","BBBU"
"1953","SXTU"
"1954","MCDU"
"1955","COXU"
"1956","GFCU"
"1957","HOUU"
"1958","BZTU"
"1959","CABU"
"1960","DSRU"
"1961","TRSU"
"1962","ABLU"
"1963","HVTU"
"1964","OCCU"
"1965","RCDU"
