"   ","OWNER_CODE"
"360","IMPU"
"361","FKIU"
"362","ESFU"
"363","NWRU"
"364","AMSU"
"365","4651"
"366","MSPU"
"367","SGRU"
"368","STOU"
"369","WKSU"
"370","ZONU"
"371","SJCU"
"372","ZOCU"
"373","PPAP"
"374","AGGR"
"375","QNLU"
"376","TJCU"
"377","CHBU"
"378","MMCU"
"379","ONLU"
"380","SFTU"
"381","CNPU"
"382","----"
"383","CP11"
"384","LHXU"
"385","AFFU"
"386","IDKU"
"387","VDCU"
"388","TCLU"
"389","HLBU"
"390","KKFU"
"391","CBHU"
"392","DFOU"
"393","LDNU"
"394","MIGU"
"395","CPMU"
"396","TPMU"
"397","GELU"
"398","GULU"
"399","DCIU"
"400","JSCU"
"401","CATU"
"402","EQPU"
"403","WCAU"
"404","SONU"
"405","CSVU"
"406","GLNC"
"407","TNCU"
"408","NONE"
"409","OKFU"
"410","HHXU"
"411","YAMJ"
"412","CODQ"
"413","FANU"
"414","VPLU"
"415","GNUU"
"416","CAVU"
"417","BGSU"
"418","MLSU"
"419","KFUU"
"420","SSFU"
"421","QSOU"
"422","BORU"
"423","LEXU"
"424","PEMU"
"425","PSLU"
"426","TRCB"
"427","4472"
"428","6620"
"429","SLSC"
"430","SGSU"
"431","DPSU"
"432","APCU"
"433","SHOU"
"434","OFSU"
"435","UNLU"
"436","FFEU"
"437","MLKU"
"438","NAKU"
"439","WMGU"
"440","FYCU"
"441","WALA"
"442","GESU"
"443","TCNU"
"444","EXFU"
"445","WWWU"
"446","ETEU"
"447","DSUU"
"448","FCYU"
"449","DXCU"
"450","CWWU"
"451","MNBU"
"452","JSSU"
"453","EASU"
"454","HUAU"
"455","PGXU"
"456","RTMU"
"457","CSOU"
"458","HAMU"
"459","STXU"
"460","WMIU"
"461","VICU"
"462","PHRU"
"463","LXHK"
"464","LIRU"
"465","XTRU"
"466","BLCU"
"467","HYDU"
"468","DOGU"
"469","QATU"
"470","ITRU"
"471","CIPU"
"472","DBCU"
"473","CONU"
"474","JAAU"
"475","AXCU"
"476","MBFU"
"477","FCBU"
"478","SMEU"
"479","WCCU"
"480","SDMU"
"481","ASTU"
"482","LHSU"
"483","MDSU"
"484","CBRU"
"485","ARCH"
"486","HNWU"
"487","HSTU"
"488","CTPU"
"489","VTWU"
"490","KFSU"
"491","GTKU"
"492","SAMP"
"493","CEOU"
"494","CYKU"
"495","EOLU"
"496","KDCU"
"497","OTAU"
"498","TCGU"
"499","NASU"
"500","APRU"
"501","SESU"
"502","KLTU"
"503","DNAU"
"504","MSGU"
"505","APLS"
"506","PCSU"
"507","GCNU"
"508","HOTU"
"509","SKIU"
"510","TMMU"
"511","LCRU"
"512","HZDU"
"513","SBSU"
"514","RWTU"
"515","KMSU"
"516","HLCU"
"517","SIKU"
"518","GSCU"
"519","YPCU"
"520","KLKU"
"521","SMZU"
"522","SSDU"
"523","CSIU"
"524","ZSMU"
"525","PORU"
"526","FDAU"
"527","SCSU"
"528","ICUU"
"529","CPHU"
"530","MBEU"
"531","IBTU"
"532","TCSU"
"533","NSJU"
"534","TLCU"
"535","GSAU"
"536","FKEU"
"537","BBZU"
"538","DFWU"
"539","4787"
"540","5804"
"541","HERU"
"542","XSCU"
"543","FTWU"
"544","ECCU"
"545","PCOU"
"546","ARMU"
"547","MRZU"
"548","ASGU"
"549","PESU"
"550","WSLU"
"551","HCLU"
"552","IOLO"
"553","IQCH"
"554","PFLU"
"555","CRIU"
"556","CZZA"
"557","YEEU"
"558","UPAU"
"559","GURU"
"560","CLKU"
"561","OSFU"
"562","NKTU"
"563","LFSU"
"564","TELU"
"565","NMBU"
"566","DWSU"
"567","GRYU"
"568","JTCU"
"569","JXIU"
"570","GTLU"
"571","HXHG"
"572","VCEU"
"573","WLGU"
"574","CBLU"
"575","GAEU"
"576","TEMU"
"577","UXXU"
"578","TEXU"
"579","HDMU"
"580","SKLU"
"581","MBIU"
"582","SIPU"
"583","CNSU"
"584","CNCU"
"585","NLLU"
"586","LLTU"
"587","AMZU"
"588","GILU"
"589","RZZU"
"590","ICSU"
"591","CLOU"
"592","XBIU"
"593","CICU"
"594","BTLU"
"595","NTTU"
